,Energia Down,Energia Up,Day-ahead Forecast Wind,DA Forecast PV,DA Forecast Consumo,DAToda a Geração,DA Tie Lines Balance,DA Traded Wind,DA Traded PV
4359,9.0,238.2,8107.0,1865.8,35453.0,33189.7,90.6,6798.1,1885.1
4360,200.6,2.6,8442.0,1150.6,34787.0,32629.0,307.3,7313.4,1198.1
4361,361.1,20.5,8265.0,430.5,34198.0,32088.8,437.5,7562.4,502.7
4362,426.0,3.9,8012.0,42.3,33763.0,31058.9,1048.6,7658.9,94.0
4363,102.9,30.1,7628.0,0.4,32768.0,30204.3,1009.3,7613.4,14.5
4364,56.6,152.5,6715.0,0.0,30315.0,28764.0,550.2,7597.9,14.2
4365,82.8,0.7,6200.0,0.0,29118.0,26222.1,765.7,7215.6,7.4
4366,56.3,222.7,6399.0,0.0,27374.0,25434.7,181.3,6990.5,7.4
4367,110.7,66.1,6468.0,0.0,26046.0,24675.7,-74.5,6979.4,7.4
4368,27.0,330.5,6700.0,0.0,25388.0,23868.5,103.7,6952.5,7.4
4369,22.5,236.7,6811.0,0.0,25176.0,23495.7,255.1,6738.4,7.4
4370,3.9,281.2,6542.0,0.0,25487.0,23557.4,447.7,6456.2,7.4
4371,1.6,387.8,6060.0,16.9,27037.0,24193.5,1355.1,6115.9,20.6
4372,43.4,353.5,5637.0,246.2,29407.0,25574.8,1353.4,5648.5,227.4
4373,4.7,280.1,5128.0,986.0,31410.0,28413.6,1610.7,5095.7,876.4
4374,74.2,124.9,4671.0,1630.8,33238.0,30656.9,1159.6,4569.7,1685.6
4375,124.0,225.1,4190.0,2289.4,34279.0,32086.0,1034.6,4008.6,2379.4
4376,229.8,3.2,3868.0,2785.0,34953.0,32753.0,1153.0,3741.2,2867.8
4377,303.6,8.3,3751.0,3072.8,35861.0,33177.6,1585.4,3643.2,3186.5
4378,207.4,5.3,3861.0,3287.2,36312.0,33518.1,1764.3,3651.0,3343.8
4379,229.1,4.3,4012.0,3353.8,35727.0,33862.7,774.8,3928.3,3354.9
4380,23.0,219.1,4288.0,3164.0,35376.0,33476.8,230.6,4255.9,3218.8
4381,134.2,22.8,4513.0,2957.5,35343.0,33556.7,-10.5,4709.1,2951.3
4382,302.5,4.1,4872.0,2602.1,35495.0,33483.2,94.6,5222.1,2508.9
4383,259.2,8.8,5194.0,1983.8,35040.0,32741.5,222.9,5589.0,1921.7
4384,446.8,5.9,5653.0,1259.6,34674.0,32546.2,101.3,6050.2,1219.0
4385,106.9,91.7,5962.0,495.7,34347.0,32107.9,72.3,6485.9,519.4
4386,248.3,1.2,5488.0,52.8,33818.0,31814.7,267.1,6734.1,93.5
4387,142.9,21.1,5617.0,0.2,32912.0,31397.5,11.8,6819.1,14.2
4388,18.1,336.1,5493.0,0.0,30567.0,28893.2,35.9,6783.3,14.2
4389,228.8,5.4,5152.0,0.0,28831.0,26202.3,547.9,6461.8,7.4
4390,251.7,49.7,5156.0,0.0,27107.0,25551.8,-303.5,6216.0,7.4
4391,267.3,28.1,4840.0,0.0,25870.0,24768.6,-542.3,5862.8,7.4
4392,192.0,13.9,4866.0,0.0,25273.0,24282.9,-614.2,5653.5,7.4
4393,373.2,24.7,5057.0,0.0,25041.0,23849.7,-535.7,5299.5,7.4
4394,491.1,2.0,4664.0,0.0,25351.0,23535.5,0.8,4846.2,7.4
4395,359.5,0.0,4231.0,18.8,26917.0,24477.7,550.6,4387.2,23.6
4396,200.4,0.0,3732.0,254.3,29251.0,26202.8,1140.1,3785.4,237.2
4397,311.2,11.6,3010.0,1028.6,31472.0,28407.2,1597.4,3249.1,907.3
4398,231.4,0.0,2524.0,1760.8,33431.0,30332.4,1721.2,2788.8,1738.5
4399,102.6,139.0,2376.0,2386.6,34719.0,31703.2,1635.2,2542.2,2450.4
4400,114.6,23.7,2497.0,2850.6,35378.0,32355.8,1757.4,2528.0,2938.0
4401,32.7,355.1,2523.0,3073.8,36382.0,33081.2,1964.4,2646.0,3251.2
4402,19.5,57.0,2511.0,3288.4,36826.0,33332.0,2184.8,2779.1,3403.8
4403,41.6,105.8,2810.0,3330.5,36261.0,33057.6,1774.8,3030.8,3410.2
4404,75.9,9.4,3364.0,3185.9,36046.0,32943.2,879.7,3309.6,3278.0
4405,544.2,6.0,3840.0,2976.2,36116.0,32905.5,844.9,3642.6,3012.7
4406,317.2,2.8,4285.0,2595.7,36217.0,32692.7,1008.8,3941.8,2565.5
4407,274.4,10.9,4525.0,1976.1,35825.0,32214.4,821.0,4209.6,1962.1
4408,512.5,9.7,5291.0,1232.2,35227.0,31421.9,1102.7,4565.4,1247.5
4409,744.9,3.7,5767.0,483.8,34445.0,30915.6,1157.2,5083.5,522.6
4410,342.5,11.4,6086.0,58.9,33811.0,30375.0,1649.7,5399.1,96.6
4411,101.6,22.5,6448.0,0.3,32730.0,30279.8,1051.1,5737.0,14.5
4412,152.2,44.9,6184.0,0.0,30441.0,28519.4,506.3,6111.4,14.2
4413,234.4,10.0,5827.0,0.0,28971.0,26174.4,1016.9,5838.5,7.8
4414,368.7,36.0,5862.0,0.0,27255.0,25438.1,156.3,5630.4,7.8
4415,184.1,63.2,5559.0,0.0,25988.0,24376.8,42.4,5340.8,7.8
4416,314.2,11.4,4989.0,0.0,25396.0,23611.4,134.6,5020.0,7.8
4417,67.0,28.4,4412.0,0.0,25162.0,23230.0,291.9,4657.8,7.8
4418,134.2,22.5,3765.0,0.0,25467.0,22922.5,806.7,4204.4,7.8
